"name","authorization_level","shala","city","state","country"
"(Kranti) Renato Libonati","Certified","","The Light Yoga School Tokyo",NA,"Japan"
"Aaron Earley","Level 1","","Ashtanga Yoga Brisbane","QLD","Australia"
"Adam Keen","Level 2","Keen on ","Yoga London United",NA,"Kingdom"
"Adam Wade",NA,NA,NA,NA,NA
"Adan Corrovina Maya","Level 1","","Yoga Suecia Stockholm",NA,"Sweden"
"Adriana Hortas","Level 1","","Mysore Brussels Brussels",NA,"Belgium"
"Adriana Perez","Level 2",NA,"Sadhana Coconut",NA,"creek Florida United States of America"
"Aeryk Bjork","Level 2",NA,"Bandha Room Olympia","WA","United States of America"
"Agathe Padovani","Level 1","","Yoga Beirut",NA,"Lebanon"
"Aikaterini Vangelidi","Level 2","Chandra Yoga | ","Ashtanga Yoga Koukaki Athens",NA,"Greece"
"Ai Katsuoka",NA,NA,NA,NA,NA
"Aila A. Kattner","Level 2","","Yoga Berlin Berlin",NA,"Germany"
"Aimee Echo","Level 2",NA,"Yoga Long Beach Long Beach California United States",NA,"of America"
"Ainhoa Zubeldia Amondarain","Level 2","Ashtanga Yoga Donosti Donostia/San-","Gipuzkoa",NA,"Spain"
"Ajay Tokas",NA,NA,NA,NA,NA
"Akiko Tsugawa",NA,NA,NA,NA,NA
"Alejandra Gonzalez","Level 1","","Yoga Queretaro Queretaro",NA,"Mexico"
"Alejandra Lucia Atehortua",NA,NA,NA,NA,NA
"Aleksandr Smirkin","Level 1","","Ashtanga Yoga School Moscow",NA,"Russia"
"Alessandro Cioffari Bertalli","Level 1","","Yoga Varese Varese",NA,"Italy"
"Alex (AJ) Frye","Level 2",NA,"Tucson Tucson","AZ","United States of America"
"Alexandra Graterol","Level 2","","Ashtanga Shala Madrid",NA,"Spain"
"Alexandra Santos","Level 1",NA,"Life Center Miami Beach Florida United States",NA,"of America"
"Alexandra Tueva","Level 1","","Ashtanga Yoga Barcelona Barcelona",NA,"Spain"
"Alexia Koletsou","Level 1","","Yoga Basement Drama",NA,"Greece"
"Alexia Pita","Level 2","","Ashtanga Shala Madrid",NA,"Spain"
"Alice Cavazzuti","Level 2","Florence Ashtanga Yoga Florence (Firenze) ","Tuscany",NA,"Italy"
"Alice EE Wang Kachinski","Level 2",NA,"Yoga Houston Houston Texas United States",NA,"of America"
"Alice Viéville","Level 2",NA,"Yoga Houston Houston Texas United States",NA,"of America"
"Alicia Campostrini","Level 2","","Paris",NA,"France"
"Alicia Orr","Level 2",NA,"End Yoga Boston","MA","United States of America"
"Aline Fernandes","Level 2","","Somma Sao Paulo","SP","Brazil"
"Alisa Truong",NA,NA,NA,NA,NA
"Aliya Umirbaeva","Level 2","","Shala Antigua Sacatepequez",NA,"Guatemala"
"Allen Uy Enrique","Level 2","Aum Yoga house ","Yoga",NA,"house Quezon City Metro Manila Philippines"
"Alyson Stover","Level 1",NA,"Angeles Los Angeles California United States",NA,"of America"
"Alys Pardoe","Level 1","","Yoga Margaret River Margaret River Western Australia",NA,"Australia"
"Amanda Ferris","Level 2","Mysore Melbourne Northcote (Melbourne) ","Victoria",NA,"Australia"
"Amanda Marie Edmonds","Level 2",NA,"Yoga Lake Geneva Lake Geneva Wisconsin United States",NA,"of America"
"Amanda Markland","Level 2",NA,"Markland Group And Private Yoga Instruction United States",NA,"of America"
"Amanda Marquez","Level 2","","Yoga Isola Corte Corsica",NA,"France"
"Amit Kumar Singh",NA,NA,NA,NA,NA
"Amy Cheung","Level 2",NA,NA,NA,NA
"Amy Sanford","Level 1",NA,"Yoga Nacogdoches Nacogdoches Texas United States",NA,"of America"
"Amy Santos","Level 2",NA,"Brooklyn Brooklyn New York United States",NA,"of America"
"Ana Andole","Level 1","","Yoga Tucuman Yerba Buena Tucuman",NA,"Argentina"
"Ana Claudia Lopes e Souza","Level 2","Samatva Yoga Florianópolis ","Santa Catarina",NA,"Brazil"
"Ana Hollis","Level 2",NA,"Shala",NA,"of San Antonio San Antonio Texas United States of America"
"Anais Sorensen","Level 2","","Yoga Shala Santiago Metropolitana",NA,"Chile"
"Anand Zorzo Diez","Level 2","Ashtanga yoga Canarias, ","Las Palmas Las Palmas Gran Canaria Las Palmas",NA,"Spain"
"Anastasia Konstadinidis","Level 2","","Zen Milano Milano",NA,"Italy"
"Anastasia Whitmore","Level 2",NA,"Community Yoga Santa Rosa California United States",NA,"of America"
"Anastasiia Glebova","Level 2","Ashtanga yoga school by ","Glebova Omsk Omskaya",NA,"Russia"
"Andra’s Imre Bimba","Level 1","","Works Budapest Pest",NA,"Hungary"
"Andréa Drottholm","Level 2","","Bali Canggu Bali",NA,"Indonesia"
"Andrea Gutierrez",NA,NA,NA,NA,NA
"Andrea Picollo","Level 1","","Torino",NA,"Italy"
"Andreas Ruthemann","Level 1","","Yoga Hamburg Hamburg",NA,"Germany"
"Andrés Elias Tisminetzky",NA,NA,NA,NA,NA
"Andrew Bresnen","Level 2",NA,"Austin Austin Texas United States",NA,"of America"
"Andrew James Hillam","Certified",NA,"Yoga San Diego California United States",NA,"of America"
"Andrew Petker","Level 1",NA,NA,NA,NA
"Anette Joergens",NA,NA,NA,NA,NA
"Angela Jamison","Certified",NA,"Yoga Ann Arbor Ann Arbor","MI","United States of America"
"Angeles Blazquez Morcuende","Level 1","","Yoga Bilbao Bilbao Bizkaia",NA,"Spain"
"Angel Garcia","Level 2","","Yoga Practice Method Madrid",NA,"Spain"
"Angelika Anagnostou","Level 2","","Yoga Centre Goa",NA,"India"
"Angelina Tkalcic","Level 2",NA,NA,NA,NA
"Angelique Sandas","Level 1",NA,"Yoga West Palm Beach West Palm Beach Florida United States",NA,"of America"
"Angie Flores Saiffe M","Level 2","","Yoga Guadalajara Jalisco",NA,"Mexico"
"Ankush Gaur",NA,NA,NA,NA,NA
"Anna Babenko Elbaz","Level 2","","Yoga Amrita Breganzona Ticino",NA,"Switzerland"
"Anna Gureva","Level 1","Ashtanga Yoga Shala SPb St. ","Petersburg",NA,"Russia"
"Anna Haines","Level 1","","Yoga Jersey St Helier Channel Islands",NA,"Jersey"
