"name","syc_authorized","syc_authorization_level","city","state","country"
"Christian Mathys","yes","Level 2","Aarau","Aargau","Switzerland"
"Francisca Paz Vargas Larenas","yes","Level 2","Aarau","Aargau","Switzerland"
"Jesse Gordon","yes","Level 2","Agoura Hills","CA","United States"
"Sayaka Ohba","yes","Level 2","Aichi",NA,"Japan"
"Nicole Lastova","yes","Level 1","Alexandria","VA","United States"
"Marzhan Shotay","yes","Level 1","Almaty",NA,"Kazakhstan"
"Brice Elizabeth Watson","yes","Level 1","Alpharetta","GA","United States"
"Alisa Truong","yes","Level 2","Alpine","CA","United States"
"Naoki Torii","yes","Level 2","Center",NA,"Japan"
"Christopher Patmore","yes","Level 1","Alton",NA,"United Kingdom"
"Frances Cole Jones","yes","Level 1","Amagansett","NY","United States"
"Samantha F. Lucas","yes","Level 1","Amenia","NY","United States"
"Balveer Singh Saran","yes","Level 2","Amman",NA,"Jordan"
"Astrid Sheherazade Goelabdien","yes","Level 1","Amsterdam",NA,"Netherlands"
"Nicholas Presser","yes","Level 2","Amsterdam",NA,"Netherlands"
"Carla Laredo Moreno","yes","Level 1","Andorra La Vella",NA,"Andorra"
"Tayfun Koc","yes","Level 2","Ankara",NA,"Turkey"
"Angela Jamison","yes","Certified","Ann Arbor","MI","United States"
"Jillian Fuleky","yes","Level 2","Ann Arbor","MI","United States"
"Kim Hyeran","yes","Level 2","Ansan","Gyeonggi-do","South Korea"
"Aliya Umirbaeva","yes","Level 2","Antigua","Sacatepequez","Guatemala"
"Caroline Labeur","yes","Level 1","Antwerp",NA,"Belgium"
"Teune van der Wildt","yes","Level 2","Antwerp",NA,"Belgium"
"Ayoung Nam","yes","Level 1","Anyang","Gyeonggi-do","South Korea"
"Mary Margaret “Maggie” Lively","yes","Level 1","Arlington","VA","United States"
"Tina Bock","yes","Level 2","Asbury Park","NJ","United States"
"Pratham Aswal","yes","Level 2","New Delhi",NA,"India"
"Yun Jin Heo","yes","Level 2","Incheon",NA,"South Korea"
"Jake Barr","yes","Level 1","Bundagen","NSW","Australia"
"Pamela Luther","yes","Level 2","Bundagen","NSW","Australia"
"Yerang Min","yes","Level 2","Daejeon",NA,"South Korea"
"Maria Mora (Teté)","yes","Level 2","Guadalajara","Jalisco","Mexico"
"Yeong Lee","yes","Level 2",NA,NA,"South Korea"
"Tenzing Tseten","yes","Level 1","Pondicherry",NA,"India"
"Choi Hyo Jin","yes","Level 2","Seoul",NA,"South Korea"
"Sandi Rakhimbayeva","yes","Level 2","Almaty",NA,"Kazakhstan"
"Gabriele (Gabi) Neubert","yes","Level 1","Kempten","Bavaria","Germany"
"Eloisa Fernandez Iskandar","yes","Level 2","Maastricht","Limburg","Netherlands"
"Zaira Gomez","yes","Level 2","Mexico City",NA,"Mexico"
"Vania Passini","yes","Level 1","Modena",NA,"Italy"
"Dr. Sowmya Subramanyam","yes","Level 1","Mysore","Karnataka","India"
"Rakesh Jain","yes","Level 1","Mysore","Karnataka","India"
"Gabriella Pascoli","yes","Level 2","Trento",NA,"Italy"
"Monica Gonzalez Sanchez","yes","Level 2","Puerta Vallarta","Jalisco","Mexico"
"Jeffery Lichty","yes","Level 2","Calgary","Alberta","Canada"
"Oksana Gorkina","yes","Level 2","Moscow",NA,"Russia"
"Theopoula (Poly) Giannopoulou","yes","Level 1","Athens",NA,"Greece"
"Tsimpinos Dimitrios","yes","Level 1","Athens",NA,"Greece"
"Isa Guitana","yes","Level 1","Lisbon",NA,"Portugal"
"Youngblood Roche","yes","Level 2","Stepney","Southern Australia","Australia"
"Stefania Valbusa","yes","Level 1","Torino",NA,"Italy"
"Maria Whittaker","yes","Level 1","Victoria","BC","Canada"
"Guo Can","yes","Level 2","Wuhan","Hubei","China"
"Li Xuan","yes","Level 1","Wuhan","Hubei","China"
"Laura Griskeviciute","yes","Level 1","Zurich",NA,"Switzerland"
"Masafumi Nishi","yes","Level 1","Fujisawa","Kanagawa Ken","Japan"
"Taina Sandelin","yes","Level 1","Helsinki",NA,"Finland"
"Nnadi Harriott","yes","Level 1","Singapore",NA,"United Kingdom"
"Estefania Bravo Roman","yes","Level 1","Asturias",NA,"Spain"
"Aikaterini Vangelidi","yes","Level 2","Athens",NA,"Greece"
"Christina Exarchou","yes","Level 2","Athens",NA,"Greece"
"Sofia Xirotyri","yes","Level 2","Athens",NA,"Greece"
"Eleftheria Lagoudaki","yes","Level 1","Athens",NA,"Greece"
"Todd Roderick","yes","Level 1","Atlanta","GA","United States"
"Karla Armenta Fernandez","yes","Level 2","Mexico City",NA,"Mexico"
"William Bill Brundell","yes","Level 2","Auckland",NA,"New Zealand"
"Xinia Alderson","yes","Level 2","Auckland",NA,"New Zealand"
"Andrea Gutierrez","yes","Level 2","Austin","TX","United States"
"Andrew Bresnen","yes","Level 2","Austin","TX","United States"
"Ashley Reed Southerland","yes","Level 2","Austin","TX","United States"
"Catherine Hartshorn","yes","Level 2","Austin","TX","United States"
"Priya Jhawar","yes","Level 2","Austin","TX","United States"
"Shelley Washington","yes","Level 2","Austin","TX","United States"
"Moones Khoshbakht","yes","Level 1","Aylesbury","Buckinghamshire","United Kingdom"
"Shino Fujita","yes","Level 2","Bacalar","Quintana Roo","Mexico"
"Iain Grysak","yes","Level 2","Bali",NA,"Indonesia"
"Melissa Stark","yes","Level 2","Bali",NA,"Indonesia"
"Ayumi Iseri","yes","Level 2","Bangkok",NA,"Thailand"
"Boonchu Tantikarun","yes","Level 2","Bangkok",NA,"Thailand"
"Lapatsanan (Jamsai) Tantikarun","yes","Level 2","Bangkok",NA,"Thailand"
"Alexandra Tueva","yes","Level 1","Barcelona",NA,"Spain"
"Carmen Silvia Droege","yes","Level 1","Barcelona","Catalonia","Spain"
"Erik Sniedze","yes","Level 1","Barcelona",NA,"Spain"
"Patricia Acuña Ruiz","yes","Level 1","Barcelona",NA,"Spain"
"Veronica Fernandez Capponi","yes","Level 2","Barcelona",NA,"Spain"
"Laia Yanez Blasco","yes","Level 2","Barcelona",NA,"Spain"
"Lladiu de la Mata","yes","Level 1","Basel","Basel-Stadt","Switzerland"
"Peter Sanson","yes","Certified","Hawke's Bay",NA,"New Zealand"
"Bryony Bird-Kock","yes","Level 1","Cascais",NA,"Portugal"
"Tomoko Takahashi","yes","Level 1","Nagoya",NA,"Japan"
"Chen Wei (Vanessa)","yes","Level 1","Beijing",NA,"China"
"Hong Hyunwon (Veronica)","yes","Level 2","Beijing",NA,"China"
"Carrie Chen","yes","Level 2","Beijing",NA,"China"
"Tao Yan (Tao Yearn)","yes","Level 2","Beijing",NA,"China"
"Wang Qian (Wendy)","yes","Level 2","Beijing",NA,"China"
"Agathe Padovani","yes","Level 1","Beirut",NA,"Lebanon"
"Sandesha Hegde","yes","Level 2","Bangalore","Karnataka","India"
"Sanjana. S","yes","Level 2","Bangalore","Karnataka","India"
"Vasuda Giri","yes","Level 1","Bangalore","Karnataka","India"
"Jennifer Dougherty","yes","Level 2","Benicia","CA","United States"
"Yuki Kato","yes","Level 2","Beppu",NA,"Japan"
"Vance Selover","yes","Level 2","Berkeley","CA","United States"
"Aila A. Kattner","yes","Level 2","Berlin",NA,"Germany"
"Sarah Wilkins","yes","Level 2","Berlin",NA,"Germany"
"Rebecca Bath","yes","Level 2","Bermuda",NA,"United Kingdom"
"Angeles Blazquez Morcuende","yes","Level 1","Bilbao","Bizkaia","Spain"
"Suzanne Elizabeth El-Safty","yes","Level 2","Birmingham",NA,"United Kingdom"
"Tracy West","yes","Level 2","Birmingham",NA,"United Kingdom"
"Sofia Soori","yes","Level 2","Blido Norrtalje",NA,"Sweden"
"Claudia Vitale","yes","Level 2","Bologna",NA,"Italy"
"Olivier David","yes","Level 2","Bondi Beach","New South Wales","Australia"
"Alicia Orr","yes","Level 2","Boston","MA","United States"
"Savin George Vladislavovich","yes","Level 1","Moscow",NA,"Russia"
"Ian Cheney","yes","Level 1","Berlin",NA,"Germany"
"Anna Babenko Elbaz","yes","Level 2","Breganzona","Ticino","Switzerland"
"Ulrike Mett","yes","Level 2","Bremen",NA,"Germany"
"Ayako Iwakami","yes","Level 2","Brescia","Lombardia","Italy"
"Cinzia Somarè","yes","Level 1","Brianza",NA,"Italy"
"Katie Kehoe","yes","Level 2","Bridgeport","CT","United States"
"Sarah Miles","yes","Level 2","Brighton",NA,"United Kingdom"
"Aaron Earley","yes","Level 1","Brisbane","QLD","Australia"
"Caroline Simpson","yes","Level 2","Bristol",NA,"United Kingdom"
"Christine Gregory","yes","Level 1","Bristol",NA,"United Kingdom"
"Jonathan Hancock","yes","Level 1","Bristol",NA,"United Kingdom"
"Amy Santos","yes","Level 2","Brooklyn","NY","United States"
"Nick Ruechel","yes","Level 1","Brooklyn","NY","United States"
"Adriana Hortas","yes","Level 1","Brussels",NA,"Belgium"
"Anne Pinette","yes","Level 2","Brussels",NA,"Belgium"
"Irene Zaarour","yes","Level 1","Bucharest",NA,"Romania"
"Andra’s Imre Bimba","yes","Level 1","Budapest","Pest","Hungary"
"Réka Molnár","yes","Level 2","Budapest",NA,"Hungary"
"Barbara Vasquez","yes","Level 2","Buenos Aires",NA,"Argentina"
"Solange Domijan","yes","Level 2","Buenos Aires",NA,"Argentina"
"Andrés Elias Tisminetzky","yes","Level 1","Buenos Aires",NA,"Argentina"
"Malissa Larson","yes","Level 1","Buffalo","NY","United States"
"Kang Min Jeong (Arjuna)","yes","Level 2","Busan",NA,"South Korea"
"Mi Suk Choi","yes","Level 2","Busan",NA,"South Korea"
